LT04_L1GS_215106_19881229_20170205_01_T2,0
LT04_L1TP_032024_19821211_20170220_01_T1,1
LT04_L1GS_015047_19880408_20170209_01_T2,0
LT04_L1TP_188012_19880522_20170208_01_T1,1
LT04_L1GS_009056_19921205_20170121_01_T2,1
LT05_L1GS_071012_20080618_20160906_01_T2,1
LT04_L1TP_163022_19880624_20170208_01_T1,1
LT04_L1GS_005063_19891014_20170201_01_T2,1
LT04_L1TP_123034_19890211_20170204_01_T1,1
LT04_L1TP_019049_19920501_20170124_01_T1,1
LT04_L1GS_128107_19890214_20170204_01_T2,0
LT04_L1TP_044032_19830201_20161004_01_T1,1
LT04_L1TP_049024_19830103_20170220_01_T1,1
LT04_L1TP_129026_19900107_20170201_01_T1,1
LT04_L1GS_163059_19930302_20170120_01_T2,0
LT04_L1GS_020036_19830124_20161004_01_T2,1
LT05_L1GS_071085_20061003_20161118_01_T2,0
LT04_L1GS_006061_19880324_20170209_01_T2,1
LT04_L1TP_163016_19880726_20170208_01_T1,1
LT04_L1GS_186058_19890511_20170203_01_T2,1
LT04_L1GS_019030_19830202_20161004_01_T2,1
LT04_L1GS_017048_19881031_20170206_01_T2,0
LT05_L1GS_070019_19860311_20161004_01_T2,1
LT04_L1GS_016051_19930224_20170120_01_T2,1
LT04_L1GS_217110_19891230_20170201_01_T2,0
LT04_L1GS_001117_19890204_20170204_01_T2,1
LT04_L1TP_028033_19880724_20161002_01_T1,1
LT04_L1GS_013050_19881222_20170205_01_T2,0
LT04_L1GS_229223_19930111_20170121_01_T2,1
LT04_L1GS_024033_19821203_20161005_01_T2,1
LT04_L1TP_162044_19880125_20170209_01_T1,1
LT04_L1TP_195055_19871231_20170210_01_T1,1
LT04_L1TP_185027_19891011_20170201_01_T1,1
LT04_L1GS_028022_19830116_20170220_01_T2,1
LT04_L1TP_128058_19901218_20170129_01_T1,1
LT04_L1GS_189117_19891226_20170201_01_T2,1
LT04_L1GS_050056_19871207_20170210_01_T2,0
LT04_L1GS_224082_19890724_20170202_01_T2,1
LT04_L1TP_004059_19891108_20170201_01_T1,1
LT04_L1TP_183033_19890623_20170202_01_T1,0
LT04_L1GS_186062_19881202_20170205_01_T2,0
LT04_L1GS_015053_19890902_20170201_01_T2,1
LT04_L1TP_160032_19881110_20170205_01_T1,1
LT04_L1GS_015028_19830105_20170220_01_T2,1
LT04_L1GS_045117_19890107_20170205_01_T2,0
LT04_L1GS_185026_19881227_20170205_01_T2,1
LT04_L1GS_028032_19821129_20161004_01_T2,1
LT04_L1TP_017038_19830204_20161004_01_T1,1
LT04_L1TP_123047_19920830_20170121_01_T1,0
LT04_L1GS_120052_19920606_20170122_01_T2,0
LT04_L1TP_184018_19880915_20170206_01_T1,1
LT04_L1GS_201013_19880906_20170206_01_T2,0
LT04_L1TP_021050_19900323_20170131_01_T1,0
LT04_L1GS_204061_19880404_20170209_01_T2,0
LT04_L1TP_032035_19890621_20161001_01_T1,1
LT04_L1GS_034021_19821209_20170220_01_T2,1
LT04_L1TP_030025_19830130_20161004_01_T1,1
LT04_L1GS_008058_19880610_20170208_01_T2,1
LT04_L1GS_230222_19890312_20170204_01_T2,1
LT04_L1TP_017030_19830119_20161004_01_T1,1
LT04_L1TP_006028_19881119_20170206_01_T1,1
LT04_L1GS_134026_19890123_20170204_01_T2,1
LT04_L1GS_037039_19821230_20170220_01_T2,0
LT04_L1TP_193028_19900702_20170129_01_T1,1
LT04_L1TP_127057_19890530_20170203_01_T1,1
LT04_L1TP_232094_19890716_20170202_01_T1,1
LT04_L1TP_232087_19890716_20170202_01_T2,1
LT04_L1GS_011029_19821224_20161004_01_T2,1
LT04_L1TP_160074_19880331_20170209_01_T1,1
LT04_L1GS_028024_19821113_20170220_01_T2,1
LT04_L1GS_233057_19920528_20170122_01_T2,1
LT04_L1GS_183113_19891216_20170201_01_T2,0
LT04_L1TP_223074_19881002_20170205_01_T1,1
LT04_L1GS_120106_19891223_20170201_01_T2,0
LT04_L1TP_025047_19891010_20170201_01_T1,1
LT04_L1GS_029027_19830123_20161004_01_T2,1
LT04_L1GS_022050_19880527_20170208_01_T2,0
LT04_L1GS_215111_19890130_20170204_01_T2,1
LT04_L1TP_127057_19890327_20170204_01_T1,1
LT04_L1GS_030116_19881213_20170205_01_T2,1
LT04_L1GS_046058_19901219_20170127_01_T2,0
LT05_L1GS_007002_19900414_20170131_01_T2,0
LT04_L1GS_042204_19890729_20170202_01_T2,1
LT05_L1TP_070020_20090817_20160904_01_T1,1
LT04_L1GS_006025_19830106_20170220_01_T2,0
LT04_L1GS_042037_19871129_20161002_01_T2,0
LT04_L1GS_186013_19880812_20170207_01_T2,1
LT04_L1TP_125052_19900127_20170131_01_T1,1
LT04_L1TP_192056_19901202_20170127_01_T1,0
LT04_L1GS_001054_19930114_20170120_01_T2,1
LT04_L1TP_007066_19880822_20170206_01_T1,1
LT04_L1TP_162016_19880414_20170209_01_T1,1
LT04_L1GS_133056_19890406_20170204_01_T2,0
LT04_L1GS_185062_19881125_20170205_01_T2,1
LT04_L1GS_128110_19891215_20170201_01_T2,0
LT04_L1GS_162025_19880921_20170206_01_T2,1
